nom;pays;ville;adresse;latitude;longitude;prixMoyen;livraison;reservation;typeCuisine
Schloss Schauenstein;Switzerland;Fürstenau;Schlossgass 77, Fürstenau, 7414, Switzerland;46.7211969;9.4462648;120;non;non;Creative
Restaurant de l'Hôtel de Ville;Switzerland;Crissier;Rue d'Yverdon 1, Crissier, 1023, Switzerland;46.5539842;6.5767178;120;non;non;Classic French
Sven Wassmer Memories;Switzerland;Bad Ragaz;Bernhard-Simon-Strasse 2, Bad Ragaz, 7310, Switzerland;47.0002941;9.5037741;120;non;non;Creative
Cheval Blanc by Peter Knogl;Switzerland;Basel;Blumenrain 8, Basel, 4001, Switzerland;47.5604261;7.5875706;120;non;non;Classic French
Kanda;Japan;Tokyo;1F, Toranomon Hills Residential Tower, 1-1-1 Atago, Minato-ku, Tokyo, 105-0002, Japan;35.6658;139.748;50;non;non;Japanese
Azabu Kadowaki;Japan;Tokyo;2-7-2 Azabujuban, Minato-ku, Tokyo, 106-0045, Japan;35.655993;139.733551;50;non;non;Japanese
Kohaku;Japan;Tokyo;3-5-5 Kagurazaka, Shinjuku-ku, Tokyo, 162-0825, Japan;35.700825;139.740832;50;non;non;Japanese
SÉZANNE;Japan;Tokyo;7F, Four Seasons Hotel Tokyo at Marunouchi, 1-11-1 Marunouchi, Chiyoda-ku, Tokyo, 100-6277, Japan;35.678083;139.767155;50;non;non;French
Harutaka;Japan;Tokyo;6F, 8-3-1 Ginza, Chuo-ku, Tokyo, 104-0061, Japan;35.669269;139.759203;50;non;non;Sushi
L'OSIER;Japan;Tokyo;7-5-5 Ginza, Chuo-ku, Tokyo, 104-0061, Japan;35.669667;139.761203;50;non;non;French
Kagurazaka Ishikawa;Japan;Tokyo;5-37 Kagurazaka, Shinjuku-ku, Tokyo, 162-0825, Japan;35.701212;139.739466;50;non;non;Japanese
RyuGin;Japan;Tokyo;7F, Tokyo Midtown Hibiya, 1-1-2 Yurakucho, Chiyoda-ku, Tokyo, 100-0006, Japan;35.673583;139.759193;50;non;non;Japanese
L'Effervescence;Japan;Tokyo;2-26-4 Nishiazabu, Minato-ku, Tokyo, 106-0031, Japan;35.660299;139.719454;50;non;non;French
Joël Robuchon;Japan;Tokyo;Yebisu Garden Place, 1-13-1 Mita, Meguro-ku, Tokyo, 153-0062, Japan;35.641903;139.714528;50;non;non;French
Quintessence;Japan;Tokyo;1F, Garden City Shinagawa Gotenyama, 6-7-29 Kitashinagawa, Shinagawa-ku, Tokyo, 141-0001, Japan;35.624038;139.732977;50;non;non;French
Sazenka;Japan;Tokyo;4-7-5 Minamiazabu, Minato-ku, Tokyo, 106-0047, Japan;35.649578;139.728395;50;non;non;Chinese
Xin Rong Ji (Xinyuan South Road);China Mainland;Beijing;1F, East Tower, Genesis Beijing, 8 Xinyuan South Road, Chaoyang, Beijing, China Mainland;39.94638;116.450148;50;non;non;Taizhou
Chao Shang Chao (Chaoyang);China Mainland;Beijing;L406B, 4F, CP Center, 20 Jinhe East Road, Chaoyang, Beijing, China Mainland;39.910992;116.461892;50;non;non;Chao Zhou
De Librije;Netherlands;Zwolle;Spinhuisplein 1, Zwolle, 8011 ZZ, Netherlands;52.5153644;6.0980183;120;non;non;Modern Cuisine
Taïrroir;Taiwan;Taipei;6F, 299 Lequn 3rd Road, Zhongshan District, Taipei, 104, Taiwan;25.082896;121.559303;50;non;non;Taiwanese contemporary
JL Studio;Taiwan;Taichung;2F, 689, Section 4, Yifeng Road, Nantun District, Taichung, 408, Taiwan;24.1504863;120.6285199;50;non;non;Singaporean
Le Palais;Taiwan;Taipei;17F, Palais de Chine Hotel, 3, Section 1, Chengde Road, Datong District, Taipei, 103, Taiwan;25.0491625;121.5168892;50;non;non;Cantonese
Addison;USA;San Diego;5200 Grand Del Mar Way, San Diego, 92130, USA;32.9412972;-117.1988908;50;non;non;Contemporary
Atelier Crenn;USA;San Francisco;3127 Fillmore St., San Francisco, 94123, USA;37.79835;-122.43586;50;non;non;Contemporary
The French Laundry;USA;Yountville;6640 Washington St., Yountville, 94599, USA;38.40443;-122.36474;50;non;non;Contemporary
Quince;USA;San Francisco;470 Pacific Ave., San Francisco, 94133, USA;37.7975054;-122.4032607;50;non;non;Contemporary
SingleThread;USA;Healdsburg;131 North St., Healdsburg, 95448, USA;38.6122599;-122.8697229;50;non;non;Contemporary
Benu;USA;San Francisco;22 Hawthorne St., San Francisco, 94105, USA;37.7853763;-122.3990601;50;non;non;Asian
Zén;;;41 Bukit Pasoh Road, 089855, Singapore;1.2796271;103.84042;50;non;non;European Contemporary
Odette;;;National Gallery, #01-04, 1 St. Andrew's Road (entrance via Supreme Court wing's foyer), 178957, Singapore;1.2896459;103.8516;50;non;non;French Contemporary
Les Amis;;;Shaw Centre, #01-16, 1 Scotts Road, 228208, Singapore;1.30626;103.83204;50;non;non;French
Hiša Franko;Slovenia;Kobarid;Staro selo 1, Kobarid, 5222, Slovenia;46.2472961;13.5382362;120;non;non;Creative
Frantzén;Sweden;Stockholm;Klara Norra Kyrkogata 26, Stockholm, 111 22, Sweden;59.3341673;18.0597575;120;non;non;Modern Cuisine
noma;Denmark;Copenhagen;Refshalevej 96, Copenhagen, 1432 K, Denmark;55.6832166;12.6104224;120;non;non;Creative
Jordnær;Denmark;Gentofte;Gentoftegade 29, Gentofte, 2800, Denmark;55.7481416;12.5412347;120;non;non;Creative
Geranium;Denmark;Copenhagen;Per Henrik Lings Allé 4, Parken National Stadium, Copenhagen, 2100 Ø, Denmark;55.703472;12.5720951;120;non;non;Creative
